Año,CodEstablecimiento,Departamento,Depto_mupio,Sector,Area,Sexo,Grado,Nivel,Pueblo,Plan_estudios,Jornada,Resultado,Repitente,Graduando,municipio_codigo,Sector_codigo,Área_codigo,Sexo_codigo,Nivel_codigo,Pueblo_Per_codigo,Plan_Est_codigo,Jornada_Est_codigo,Resultado_F_codigo,Repitente_codigo,Graduando_codigo,Departamento_F_codigo
2024,02-06-0752-43,El Progreso,201,Privado,Urbana,Mujer,5,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-06,2,1,2,2,5,1,1,1,2,2,2
2024,15-04-0099-45,Baja Verapaz,1501,Público,Urbana,Hombre,3,Básico,Maya,Diario,Matutina,Promovido,Sí,Ignorado,15-04,1,1,1,3,1,1,1,1,1,9,15
2024,02-01-0052-43,El Progreso,201,Privado,Urbana,Mujer,1,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-01,2,1,2,2,5,1,1,1,2,2,2
2024,19-05-0210-43,Zacapa,1901,Público,Rural,Hombre,1,Primaria,Ladino/Mestizo,Diario,Matutina,Retirado,Sí,No,19-05,1,2,1,2,5,1,1,3,1,2,19
2024,15-05-0215-45,Baja Verapaz,1501,Cooperativa,Urbana,Mujer,3,Básico,Ladino/Mestizo,Diario,Vespertina,Promovido,No,No,15-05,4,1,2,3,5,1,2,1,2,2,15
2024,15-07-0250-43,Baja Verapaz,1501,Público,Rural,Hombre,2,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-07,1,2,1,2,5,1,1,1,2,2,15
2024,19-05-0201-43,Zacapa,1901,Público,Urbana,Mujer,4,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-05,1,1,2,2,5,1,1,1,2,2,19
2024,19-04-0147-43,Zacapa,1901,Público,Rural,Mujer,5,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-04,1,2,2,2,5,1,1,1,2,2,19
2024,02-06-0003-45,El Progreso,201,Público,Rural,Hombre,3,Básico,Ladino/Mestizo,Diario,Vespertina,Promovido,No,No,02-06,1,2,1,3,5,1,2,1,2,2,2
2024,15-08-0080-43,Baja Verapaz,1501,Público,Rural,Hombre,1,Primaria,Maya,Diario,Matutina,No promovido,No,No,15-08,1,2,1,2,1,1,1,5,2,2,15
